Id,Question,A,B,C,D
762,How do people treat you?,Obviously dislike you,"Seems good, but I think they are discussing me behind my back",I don't care what they think of me,Everyone adores me!
763,How often do you get into strange situations?,,,,
764,What do you usually do at parties?,Dance until you drop,Drink cocktails,Don't go to parties at all,Communicate with others
765,"It is 7 in the morning, you have to get up for work. You…",Get up and start getting ready ,I'm vigorous and cheerful! Run to the shower!,I will still lie in bed for a while,I'll go to work when I want
766,Your talent is...,My logical thinking is great,My appearance,I cook deliciously,"If I speak, you won't stop me"
767,Irregular work schedule...,,,,
768,A suspicious guy is following you at night. Your actions?,Attack him,Hide in the bushes,Run in the hope that someone will see me,Call the police
769,What would you do if your partner forgot about your anniversary?,I always remind them in advance to avoid such conflicts,Make a scandal!,Sometimes I forget too,
770,What is your favorite color?,All shades of pastel,Bright colors,Something brilliant,White or black
771,Where is the better way to spend a date?,Movie theater,Outdoors,In the park,At a restaurant
772,How do you feel about a kiss on the first date?,Yeah why not?,Only if I really like the person,Only if I'm drunk,"No, I'm against that"
773,Are you an ambitious person?,,,,
774,Are you worried about the fact that you have no relationship?,,,,I have a career as the top priority
775,Choose a method for achieving the goal,A dodgy plan that provides for everything,I'm going through,"I don't want to achieve anything, leave me alone",I have a plan A and a plan B
776,Do you keep deadlines?,As it suits me,"No, to be honest",I don't get them,Always
777,What would you say to yourself as a child?,Other people's approval is not important,You're doing everything right,More precisely with calculations!,Alcohol is evil
778,Choose a movie,"""The Great Gatsby""","""The Devil wears Prada""","""Eat Pray Love""","The TV series ""Friends"""
779,How do you usually behave on excursions?,"Always interested in everything, and ask questions",I look at the sights and don’t listen to the guide,Always listen in silence,
780,"When dissatisfied with communication, I...",Openly show it,Hide it,,
781,Are you susceptible to being insulted and holding grudges?,,,,
782,Were you as brave as your peers in childhood?,,,,
783,Do you laugh at dirty jokes?,,,,
784,Do you stand up for people against whom injustice has been committed?,,,,
785,Which experience do you never want to experience?,Quarrel with friends for a year,Get lost in a foreign country without knowing the language,Be an actor in a play and forget your lines on the stage,
786,What are you made out of?,From passion and fire,From kindness and tranquility,From fun and fuss,From stability and seriousness
787,What do you share about yourself when meeting new people?,"Everything in a row, I like to talk about myself",Usually what they ask me about,I have nothing to tell about myself,I only listen and try not to talk about myself
788,What is the best gift for you?,Something cutting edge,Something aesthetic,Something unexpected and romantic,Something practical
789,What should be the perfect life partner be?,"Decent, without bad habits and ""skeletons in the closet""",Talented and passionate,"Romantic, able to prove love","Smart, with a sense of humor suitable for me"
790,How do you react to a declaration of love?,A gentle reciprocal confession,Passionate kisses,I will modestly lower my eyes and blush,"If it is unexpected, I can lock up in response"
791,"What are you ready for, regarding love?",To be with the one I love in sorrow and joy,For changes,Definitely not ready sacrifice anything for love,Hard to answer
792,How will you start getting to acquainted a person you like?,Start the conversation with my catchphrase,I will constantly smile,"I don't need to do anything, the person will speak to me",I will use my strengths
793,In what mood do you usually play board games?,Fully involved in the game,"Never follow the game, but for some reason I often win",I don’t like such games,Love to spend time with close friends
794,When can you get really strongly angry?,When people don’t take me seriously,Cruelty to animals,When my things are rearranged,When people don't listen to me
795,What was your New Year's resolution?,Advance my career,Improve my health,Build a happy relationship,Travel more
796,What is your main criterion when choosing a movie to watch?,Famous director and actors,Good reviews and recommendations of friends,Intriguing movie title,Interesting plot theme 
797,What is love for you?,Feeling of complete unity,Constant investment of effort and energy,Something very complicated and confusing,Something secondary
798,What first impression do you usually make on people?,Very bright and smiling person,An interesting and pleasant conversationalist,I always look great and make a lasting impression,Strict and cold expert
799,What are your days like?,Bright sparks,"I don't know, ordinary everyday life",Emotional swings,On a diary with the tasks that need to be solved
800,What do friends say about you?,"""We can expect anything from you""","""It is very pleasant to spend time with you""","""It is sometimes difficult to understand you""","""We can rely on you"""
801,How often do you check your partner's contacts in social networks?,,"Sometimes, just out of curiosity",Why do I need it? I trust my partner,
802,What would be your perfect adventure?,Run away from everyone with my loved one,Live the whole range of emotions on a ski slope,Go to your favorite city,Become a witness to some historical event
803,Your most important goal?,Find the one who understands me without words,Live this life brightly and intensively,Understand who I am,Get to the bottom of the truth of life
804,What could push you to an extreme sport?,A close person who is passionate about extreme things,Show everyone and yourself your courage,The love of risk, To know what I'm capable of
805,How would you describe your manner of communication?,Direct ,Laconic,Educated,Funny
806,What can easily cheer you up?,,,,
807,Do you often feel that you are not understood?,Constantly,It happens sometimes,Never been like this,
808,What do you think about at night?,About relationships with people,"About career, affairs",About the meaning of life,About family
809,What do you feel when an unconstructive remark is made?,I don’t pay attention to bad people,"Sometimes I don't care, sometimes I feel anger",It can terribly upset or annoy me,
810,How do you react when a close person once again violates established agreements?,I just conclude that I can not rely on them ,Trying to understand why this happened,This usually ends with a loud quarrel,I close my eyes to this
811,How do you pack your suitcase when you go on vacation?,"Always travel light, only take what I need",I pack a lot of things that I probably will not even use,I make a list and put things in strict accordance with it,
812,Do you know how to lose?,"Yes I'm not always on top, this is fine","Occasionally I try to prevent this, but there is nothing to be done",No I always win!,
813,How do you behave in a situation when someone don’t agree with you?,I listen to the other opinion,I try to restrain myself but it hurts me ,Turned on very quickly and can’t hide my anger,Don't even listen to another opinion 
814,At what time of the year do you feel the most vitality?,,,,
815,What kind of people do you find it easiest to get along with?,With people like me,Who kept their inner child,Who know how to dream,With sane people
816,What are you most afraid of in a relationship?,The fading of the original passion,"Merging together, dissolution in one another",Stealth and deceit,Other
817,What are you like in a relationship with a partner?,To trust my partner,"Independent, free",Jealous and wary,
818,How do you react to your partner’s desire to spend an evening with friends?,Nothing without me!,Super! Have fun there!,It doesn't matter to me,"I will be sad, I would like spend the evening together"
819,What would you like to do right now?,Hug from someone,Scream in the forest,,Go travel
820,What is your relationship with your own body?,"This is my friend, I love it",It seems that now I exist separately from it,,
821,What are you especially good at?,Climbing the career ladder,Finding common ground with a variety of people,Taking care of those who especially need it,Leading other people
822,What thought can give you strength?,"""Everything passes. And this will also pass""","""What does not kill us, makes us stronger""","""Whatever is done, happens for the better""","""Until a person gives up, they are stronger than their fate"""
823,Without what one thing would life on Earth not make any sense at all?,"Without constant movement forward, progress",Without moral guidelines and spiritual values,"Without kindness, love, and compassion",
824,How do you feel when you are surrounded by couples everywhere?,I feel constant stress: I urgently need someone,I don't understand why I should feel somehow wrong,Better to be alone than with just anyone,
825,"During a festive dinner, the last piece of the pie is left on the table. What will you do?",Ask the guests who would like to eat it,Pretend it's just not there,Take it to myself,
826,What would your dream wedding look like?,It would take place in a circle of friends,We would spend the day together alone,Simple wedding in nature,A grand holiday
827,Do you think accidents are not random?,,,,
828,Do you have a developed sense of responsibility?,Of course I'm an adult independent person,"Yes, although I can't say that I like it",I try to avoid responsibility if possible,
829,When something goes wrong what do you think about?,Analyze the situation and look for a solution,Angry and upset,Realize that everything goes the way it's supposed to,
830,Do you believe in a higher power?,,,,
831,Are you a disciplined person?,,,,
832,If you think about something bad then...,It will certainly happen,Maybe nothing will happen but it is better not to experiment,Maximum - spoil my mood,
833,Where would you prefer have dinner?,On the shore of the ocean,In my kitchen,In the most expensive restaurant in Paris,
834,"What do you think, what could fame could bring to your life?","Impeccable reputation, reliability, and trust",,New acquaintances in a fashionable party,A solid bank account
835,Could you date a celebrity?,,Only if I'm madly in love in this person,No way! I don't want to share my partner with fans,
836,How many hobbies did you have?,I'll go crazy while I count them!,A lot but only truly interested in a couple,,
837,What professional path did you always want to choose?,Develop creative activity,Become a specialist where it is important to contact people,Take a chance and challenge in advanced business,Make a small business from your hobby
838,What kind of parent do you see yourself as?,"Sympathetic, condescending, liberal","Dynamic, attentive, resourceful",Strict and authoritarian,The idea to be a parent does not attract me
839,What can shake your self-confidence?,When I'm rarely told about love,When nobody pays attention to me,When I feel that I will fail,When someone openly illustrates my shortcomings
840,What are you afraid to regret in old age?,About the time spent,About the fact that I didn't test myself with something new,I rarely listened to myself,
841,What would you like to do in old age with your loved one?,Sitting on the beach and watching the sunset,Travel as much as possible,Arrange a candy-bouquet like in childhood,Surround us with comfort and grandchildren
842,What can be a red flag for you on the first date?,Partner's phone that is bursting with endless messages,An obsessive desire to walk me home,If I was bored by the middle of the evening,
843,What scares you the most?,,Betrayal of a loved one,,
844,How can you evaluate degrees of disgust?,"Maximum, there is no higher", I'm not at all squeamish,Moderate,
845,Do you sometimes feel like punishing your enemies?,Constantly!,I want to crush periodically,"No, we must be merciful even to enemies",I have no enemies
846,What do you feel when you are in nature?,,"Leave me, I want to live here","What beautiful flowers, I need to collect a bouquet",
847,Do you work or study?,"Yes, I work or study a lot and have a rather stressful schedule",I work or study in a calm rhythm,Work or study is more like my hobby,Searching for myself
848,"If you ruled a country, what would you promise your people?",Their life will never be the same,Available education and quality medicine,Spectacular military parades,I will not bother with politics
849,What most affected the formation of your character?,My circumstances growing up,Frequent travel,"Books, conversations with wise people",Misunderstanding of parents
850,Are you annoyed if others don’t follow your advice?,Everyone has their own outlook on life ,"Yes, but I can't make people do everything how I think","Yes, because most often I'm right",
851,You come home after a long day at work. What will you do first?,Wash my hands after public transport,Put things in order,Write to friends to know about their plans ,Lie down to rest
852,What style would your dream home be built in?,Majestic classic,Openwork Gothic,Minimalistic modernism,The most simple and practical
853,Which of these habits seems the least harmful to you?,Love of gossip,,,Boasting
854,Are you often scared?,"Yes, many things scare me",Depends on the situation,"No, fear is not for me",
855,What can you do better than others?,"Don’t bother, it's nonsense",Listen and feel,Watch dreams,
856,Which seats do you prefer to buy concert tickets for?,To the fan zone or dance floor,Seats somewhere in the middle,"Closer to the exit, to leave at any time",Irrelevant
857,What do you think about diets?,Some diets are very effective,I treat them well,They're great way to obtain eating disorders,
858,Doing something through pain is your story?,"No, I don’t practice masochism","Pain is the norm of life, you must be able to endure!",Sometimes you have to endure,
859,"Do you go to spas, massages, and the like?","Regularly, it's so nice!",,,
860,Are you an empathic person?,"Yes, I always feel the mood of others","No, I can't say this about myself",,
861,What advice do people most often give you?,"""Stop worrying""","""Be less self-critical""","""Stop analyzing everything""","""There is no need to doubt yourself"""
862,You don’t understand people who...,Want to be perfect,Constantly busy,Require special treatment,
863,What experience have you never had in your life?,Work with a psychotherapist,Emotional burnout,Financial failure,
864,You like it when other people...,Take care of you,Leave you alone,,
865,What should every person learn?,Pause to be able to look at the bigger picture,"Distract themselves, then return to work with new strength",Stop judging yourself too harshly,
866,Imagine that you were invited to a dance that you don’t like. What will you do?,I will politely refuse,Pretend I speak another language and don't understand ,I will accept the invitation. Why be rude?,I will refuse and laugh at the situation
867,"Life makes sense for you, if...",Success in what I consider mine,Building a strong marriage and family,When I'm healthy and vigorous,
868,"Arriving in an unfamiliar city, you will certainly...",Read every guidebook that you can find,Study local dishes and crafts,Want to try everything soon,
869,The best way to let off steam is...,Drink a cup of coffee or tea and think,"Watch an action movie, play video games",Cry and give free rein to emotions,Just lie down and relax
870,What do you usually do when you get into an awkward situation?,Pretend that nothing happened,Speak out sharply,Try not to cry in front of everyone,Want to quickly forget about it and get distracted
871,You accidentally stumbled on the melodrama on TV. What do you want to do right away?,Get paper tissues,Switch the channel,,
872,Is it important for you that your parents are proud of you?,,,,
873,Is it easy for you to get close with people?,No difficulties,Pretty simple,It is quite difficult,Depends on the situation
874,How would you describe your sleep at night?,Restless,Deep and calm,,
875,How does stress affect you?,Stimulates,Paralyzes,"Not in any way, I can hold myself in my own hands",
876,Do you follow pop culture?,Sometimes I read news about stars,"Constantly, I want to keep up with all the events","No, it's useless",
877,What annoys you the most?,The instability of the world around me,Excess weight,The fact that no one understands me,I can rarely show myself in all my glory
878,"Without you, the world would be...",Too unpredictable,Not so cool and exciting,More calm,Without a piece of beauty
879,Whom would you call if you need to blow off steam?,,,,
880,Are you picky about food?,I'm a real picky eater!,"I don’t eat a few things, but I'm fairly omnivorous",,
881,Can you wait?,,"Impatiently, but I can","No, I always burn with impatience",
882,Do you prefer to do something useful or something pleasant?,Better pleasant,I vote for useful,A bit of both,
883,Do you like to remind a person about their mistake in the past?,,,"No, it's embarrassing",
884,"For someone to make peace with you, they...",Need to try very hard,Need not to quarrel with me,"Just ask, ""peace?"" And I will answer with consent",
885,What is forgiveness for you?,A useful and healing thing,What both sides of the conflict need,A sign of weakness,
886,Why are you appreciated in the family?,For my ingenuity,For my determination,For my wisdom,For my sense of humor
887,Do you like when you are praised?,,It confuses me,Indifferent to praise,I prefer praise in material equivalent
888,How is your relationship with money?,"Great, I'm a pro at this",Not very good,I don't bother with financial issues,
889,How do you see your personal life in 10 years?,There is a partner but we are not yet married,I'm in a relationship but it's not very serious,I'm already married with children,
890,"When you're in love, you tend to...",Not lose your mind,Live and don’t think about anything,Completely surrender to the relationship,Take some things frivolously
891,Do you often yell at people?,,Sometimes I break and do it,I don't yell,
892,Can you talk too much while emotional?,,,,
893,Emotions are...,Something I have every right to,A thing that sometimes you need to hide,,
894,What usually happens to you in your dreams?,I get into unusual situations,I don't remember dreams,I'm constantly becoming a victim,Something strange
895,Do you have the same dreams?,,,,
896,You've been reprimanded for a job well done. How do you react?,I will be embarrassed,My self-esteem will drop,Draw conclusions and try to do things better,
897,You were accused of something you didn't do. What do you think?,"It is not a surprise, people often act dishonestly",I just can't protect myself,I can easily prove my case,
898,To be self-critical is...,Having a healthy attitude toward yourself,Searching for your own shortcomings,A useless skill,
899,Are you a secretive person?,"Not secretive, but mysterious",Sometimes it happens,My soul is wide open,
900,Do you consider yourself a difficult person?,"Yes, I have a rich inner world","I seem simple, but it only seems so",I am simple and open,
901,Do you feel a craving for luxury?,I would like to swim in it!,"Not luxury, but comfort",Asceticism is my everything,
902,What is your life credo?,Bring everyone together and unite,Inspire and fall in ,Be in the right place at the right time,
903,Friends are gathering at your home tonight. What will you cook for them?,My signature dish,,Friends will bring food themselves,
904,How do you feel before a first date?,Worried,Calm,,
905,You will not live a day without a...,Good mood,Good joke,Good book,
906,Do you like intriguing things?,"Yes, there is something exciting in them","No, but I'm always drawn to them",,
907,Do you have enemies?,"Oh yes, I can make them","Yes, very serious",It seems not,There are just ill-wishers
908,How do you feel when you are appointed the head of a project?,Proud of myself,Feel responsible,Alarmed,
909,Do you think that other people are more successful than you?,"No, I'm lucky in life","Yes, I'm sure of this",Luck? It does not exist,
910,What do you think about just before going to bed?,About the good moments of the day,About the uncertainty of tomorrow,About accumulated problems,
911,Have you ever done charity?,"Yes, it is important for me to help people","No, I have no resources now help others","No, and I'm not going to",
912,Do you have a dream or an idea that you are hiding?,"Yes, several even","Yes, but I'm not sure that I can realize it","No, I just live one day at a time",I don't understand my desires
913,What are you especially missing right now?,Sleep and rest,Something new and unusual,Thrill,Everything is fine
914,There is nothing more interesting than...,Sports,Another journey,Sincere conversations,Self-expression through creativity
915,What do you feel when you refuse someone's request?,Always terribly embarrassed ,Depending on whom and what I refuse,Nothing,
916,Could you call yourself an egoist?,"Yes, but within reasonable limits",I try to think about myself more often but it is difficult,This does not particularly bother me,"No, I'm definitely not selfish"
917,Self-expression through creativity,Excessively touchy people,Callous and uncompromising people,Ordinary people,Demagogues
918,You noticed that you most often attract...,Talkers,Super-emotional people,Rebels and revolutionaries,Confident people
919,A long leisurely morning for you is...,The key to a good day,Loss of the most productive time,,
920,When you are asked about the future...,"You are calm, trust life",You talk about it cautiously,This topic scares you to death,
921,"As a teenager, you were...",The leader of the gang,Invisible man,Black sheep,Ordinary teenager
922,What would become the most powerful disappointment for you?,Live without the opportunity to enjoy nature,Not being able to help the needy,Being unable to read and think,Not being able to be alone
923,What role do you feel best in?,The one who soothes,One who encourages others to action,One who explains,One who listens
924,"When I watch TV and lie in bed doing nothing, then I...",,Think about everyday worries,,Allow myself to relax
925,What was the learning process like for you in the past?,,,,
926,What is the strongest side of your character you inherited from your parents?,Determination,The ability to obey,Goodwill,Nothing special
927,Your partner is first and foremost...,A person who aids in my success,A constant source of admiration,My lifeline,My compass: I will follow them everywhere
928,During my vacation I would like to…,Go to an unusual place,See wild animals,Visit the countryside,Walk around the city
929,Which side dish do you prefer?,,,,
930,Could you be a kindergarten teacher?,,I probably would like it very much,I don't get along with children very well,
931,Do you have a musical talent?,I sing great in the shower,I play a musical instrument,I'm the lord of karaoke!,I just like to listen to music
932,Do you rely more on your logic or let your heart make decisions?,,,,Always think with my head
933,What animals do you associate yourself with?,,,,
934,To achieve desired goals...,All methods are acceptable,Must be able to improvize,Need good financial investments,Need to be appreciated
935,What sport inspires you the most?,,,,
936,"In love, you can never...",Get too carried away,Allow yourself to be stuck in a routine,Give yourself up completely to the relationship,Lose your personality
937,Are you inspired by new experiments?,,,,
938,Do you have a light and flexible character?,,,,
939,What topic bothers you the most?,Struggle for equality between men and women,Animal abuse,Helping orphans,
940,How would you prefer to enter a room full of people?,With a smile,I would prefer not go in there,With a friend so that it is not so scary,"Quiet, to explore"
941,What makes a person beautiful?,Character,Appearance,Attitude towards other people,
942,What is the most important thing in life for you?,Love everything I do,Do everything I want,Love and be loved,This desire is constantly changing
943,How do you understand that you are in the right direction?,Feel financial security,Happy and I don't even think about it,See the signs of the universe,I'm never sure of this
944,What do you do when meeting a new person?,Extend my hand to say hello,Immediately forget their name,Hug them,Try to understand what kind of person is in front of me
945,Was it easy for you to write essays in school?,,Always thought it was useless,I hated this!,I don’t remember
946,Do you like to give hugs?,,,"I love it, but I am very selective of those I hug",
947,What do you prefer: spending or saving money?,,,,
948,Do you often notice that you adopt phrases and the manner of speaking from others?,,,The opposite is true,
949,"When you go to the movies, you always take...",,,,
950,What should your family life with a partner be like?,On Italian passions,For the best love films,To a quiet harbor,
951,You are stuck in traffic and very late to a meeting. What do you feel?,Great stress,"It's okay, I'm often late",,
952,Your friend tried to offend you with their words. Your reaction?,"Feel bad, begin to doubt myself","No way, this is a manifestation of their weakness",Fight back,Quarrel in response
953,What allowed you not to lose heart in the past?,"I devoted a lot of time for myself, worked on my mistakes",Talked to friends a lot and received support,Tried myself in new areas,
954,Aging is...,"To see how children grow, it's scary",Doesn't make me afraid,I don't think about it,
955,What did your parents say about you as a child to their friends?,This child needs an eye on him constantly!,"Plays around sometimes, but in general, an ordinary child",This is the most obedient baby in the world!,
956,What is the main thing in friendship?,"Discuss, share, exchange","Have common topics, passion, hobbies",Surprise each other and fool around,Support each other
957,Do you feel that surrounding people love and understand you?,,"I feel, but not enough","Yes, my loved ones always want to help me",
958,What is the success rate of a date?,In a successful flirting and seduction,In mutual attraction,In the aftertaste of mystery and subtleties,
959,Your ex-partner often noticed that you...,Are a little assertive,Fantasize and dream a lot,Are completely unpredictable,
960,You are most pushed back when a partner...,Plays hard to get,Too much talks about themself,Thinks ordinarily,
961,Can nobody influence you?,,,,
962,Is it hard for you to relax?,,,,
963,Do you feel like a person of action rather than an intellectual?,,,,
964,You are most familiar with the feeling...,Passivity and complete unwillingness to do anything,As if I'm under anesthesia,As if I'm alone in the whole world,That life is completely getting out of control
965,You often feel grateful for...,My intuition,My regrets,My kind heart,My sanity
966,What are you afraid of the most?,Not to be on top,Betraying yourself,Betraying loved ones,Being in poverty
967,Lately you've become prone to...,Hyperactivity and multitasking,Reflection,Increased irritability,Procrastination
968,Do you feel like life is calling you to...,Assertiveness and activity,Responsibility,Determination and firmness,Rest 
969,"You can say that in childhood, the world you lived in...",Was very friendly to you,"Consisted of eternal questions ""Why?""",Was dangerous and filled with squabbles, Was full of hugs and love
970,What do you find most difficult to deal with?,My amorousness and sentimentality,Inattention,My tongue,My or other people's secrets
971,Most often in life you are looking for...,"Warmth, love, and affection",The answer to this question torments me,Approval of other people,My stuff in the apartment
972,What do you think works best for you?,The factory of sentiments and feelings,The plant for the manufacture of issues,Your inner fighter for sincerity and justice,Dream production machine
973,What hashtag would you put on your life?,,,,
974,"When your life is calm and nothing happens, you tend to...",Shut up inside yourself,To fill your thoughts as much as possible with some information,Find problems and try to solve them,Relax and enjoy silence
975,Do you think that life without love is meaningless?,,,,
976,You would like to be named after...,,,,
977,Money opens up the opportunity to...,Live as you want,Not pay attention to prices,Help those who need it,Professional development
978,Do you have pragmatism?,,,,
979,Does your reasoning often surprise others?,,,,
980,Do you sometimes like to provoke others with your behavior?,,,,
981,Do you like to find new uses for things?,,,,
982,Are you often asked for advice about repairs or choosing clothes?,,,,
983,What does it mean for you to succeed in life?,Buy everything I want without looking at prices,Travel several times a year,Build a strong family,
984,What kind of people do you admire?,Those who built a successful career,Those who live without looking back at the opinions of others,Those that often sacrifice their interests for the sake of others,
985,Luxury for you is an opportunity to...,Stay in five star hotels,Ride in Comfort Class taxis,Pay for the needs of the family,
986,"When buying products, you pay attention to...",Packaging,Ingredients,Discount,
987,A party for you is first of all an opportunity...,Find out the last gossip,Distract from pressing problems,See old friends,
988,At home you are usually...,Try to look neat,I don’t attach importance to my appearance,Dress depending on the mood,
989,How will you change in 10 years?,I will remain the same,I will become better and more successful,Time will tell,Better not to think about it
990,Are you feeling sad or bored?,,,,
991,How do you feel about your past?,It causes a lot of pain,I see a source of experience in it,I like to reminisce,
992,Do you like to talk about yourself?,,,,
993,Do you feel out of place without friends?,,,,
994,Do you see only good in those you love?,,,,
995,"Most of all, you like to take pictures of...",,,Family members and friends,
996,What is your mood on Monday morning?,Different but most often depressed,The same as on any other day,Just disgusting,
997,When your friends quarrel you...,Take someone's side,Trying to reconcile them,Don’t interfere,
998,"The way you look in the eyes of others, for you...",Makes a big difference,It is of little meaning,It doesn’t matter at all,
999,"Do you pay attention to signs, symbols, coincidences from the Universe?",,,,
1000,Do difficult tasks and challenges stimulate you?,"Yes, I will activate myself even more",They make me confused,I immediately begin to think that I can not cope,I find it difficult to answer
